#cor phi r a0 a1 a2 a3 a4
1 1 2 -3.18666080349e-08 5.82273004757e-10 -8.56099448917e-13 -1.92740447053e-14 9.94020695186e-17
1 2 0 0.0013450628419 -3.08596387743e-06 7.69395343813e-09 -2.99929231e-11 2.52296225398e-14
1 2 1 1.90948769687e-06 2.75497030952e-09 -3.04747693388e-10 -1.63261712273e-13 6.06335575109e-15
1 2 2 -3.69778062942e-08 9.07436223283e-11 5.2283109719e-12 1.71910876014e-15 -1.09847321933e-16
1 3 0 0.00137736554929 -3.00379322998e-06 4.31893000293e-09 -3.24452368218e-11 6.52645216071e-14
1 3 1 -1.74083622509e-07 1.11278452608e-09 -3.28068965598e-11 -4.38496508501e-14 1.83841772678e-15
1 3 2 -5.56406506794e-10 1.74105072678e-12 2.94227731934e-13 1.67504165302e-15 -2.46046795601e-17
1 4 0 0.00137487655037 -3.02746142366e-06 4.57165817095e-09 -3.19827610687e-11 7.15864892698e-14
1 4 1 -7.18786503843e-08 1.10048539478e-09 -1.57281215972e-11 7.39839956239e-15 3.49617384209e-16
1 4 2 4.67849860995e-10 -5.42950122781e-12 8.30700676992e-15 1.1329068738e-15 -5.57183019072e-18
1 5 0 0.00138517054707 -3.06879518217e-06 3.5504988205e-09 -3.55503417636e-11 1.17753959328e-13
1 5 1 -1.14273421847e-07 2.11703555491e-10 6.96590292607e-12 2.04117872625e-13 -1.23343366782e-15
1 5 2 3.98396327929e-10 4.66616919051e-12 -9.53071512196e-14 -1.0088592286e-16 2.6760586632e-18
1 6 0 0.00139007007923 -3.17891256878e-06 4.66367646067e-09 -3.87818971032e-11 1.16637281253e-13
1 6 1 -1.0762779999e-07 1.74784021518e-09 -2.16264958749e-11 3.20286536321e-13 -1.29606010485e-15
1 6 2 1.92516967281e-10 2.07467827372e-12 2.52976829115e-15 -5.33974422217e-16 2.70088106982e-18
1 7 0 0.00140196267375 -3.34017755229e-06 5.93837385738e-09 -3.70804335896e-11 8.94520511186e-14
1 7 1 -2.95152285268e-07 4.94331913065e-09 -4.60364255862e-11 3.06138739357e-13 -8.60591237139e-16
1 7 2 5.50545798336e-10 -4.98101996073e-12 6.11009045844e-14 -4.88130381647e-16 1.48178470704e-18
1 8 0 0.00141917474079 -3.51565706615e-06 6.54268101563e-09 -3.457607704e-11 7.51384706579e-14
1 8 1 -5.16357478888e-07 7.46655107467e-09 -5.5676453407e-11 2.7680347512e-13 -6.28609063809e-16
1 8 2 9.41823332068e-10 -9.70399198476e-12 7.91181256729e-14 -4.20403037163e-16 9.36769116695e-19
